Time (sec),Force (lb),EE (in/in),Stress (psi),"Stress, Corr. (psi)"
15.9195500727,0.4869,0.196341117563,38.952,46.5998792113
15.9815500727,0.4355,0.19710578423,34.84,41.7071655226
16.0435500727,0.3733,0.197870450897,29.864,35.7732031456
16.1055500727,0.3551,0.198635117563,28.408,34.0508264197
16.1675500727,0.3361,0.19939978423,26.888,32.2494613984
16.2295500727,0.327,0.200164450897,26.16,31.3963020355
16.2915500727,0.3174,0.200929117563,25.392,30.4939921532
16.3535500727,0.3108,0.20169378423,24.864,29.8789142511
16.4155500727,0.3031,0.202458450897,24.248,29.1572125173
16.4775500727,0.2959,0.203223117563,23.672,28.482697639
16.5395500727,0.2894,0.20398778423,23.152,27.8747251805
16.6015500727,0.2827,0.204752450897,22.616,27.2466814295
16.6635500727,0.2737,0.205517117563,21.896,26.3960028062
16.7255500727,0.27,0.20628178423,21.6,26.0556865394
16.7875500727,0.2607,0.207046450897,20.856,25.1741607799
16.8495500727,0.2536,0.207811117563,20.288,24.5040719531
16.9115500727,0.2477,0.20857578423,19.816,23.9491377403
16.9735500727,0.2447,0.209340450897,19.576,23.6740486668
17.0355500727,0.2421,0.210105117563,19.368,23.437315917
17.0975500727,0.2391,0.21086978423,19.128,23.1615172328
17.1595500727,0.2293,0.211634450897,18.344,22.2262223673
17.2215500727,0.2246,0.212399117563,17.968,21.7843873444
17.2835500727,0.2202,0.21316378423,17.616,21.371093223
17.3455500727,0.2189,0.213928450897,17.512,21.2583150321
17.4075500727,0.2143,0.214693117563,17.144,20.8246988075
17.4695500727,0.2112,0.21545778423,16.896,20.5363747224
17.5315500727,0.2067,0.216222450897,16.536,20.111454448
17.5935500727,0.2032,0.216987117563,16.256,19.7833425831
17.6555500727,0.2014,0.21775178423,16.112,19.6204167475
17.7175500727,0.1973,0.218516450897,15.784,19.233063661
17.7795500727,0.193,0.219281117563,15.44,18.8257004552
17.8415500727,0.1901,0.22004578423,15.208,18.5544562866
17.9035500727,0.1862,0.220810450897,14.896,18.1851924766
17.9655500727,0.1837,0.221575117563,14.696,17.9522679277
18.0275500727,0.1791,0.22233978423,14.328,17.5136844284
18.0895500727,0.1747,0.223104450897,13.976,17.0941078057
18.1515500727,0.1714,0.223869117563,13.712,16.78169334
18.2135500727,0.1676,0.22463378423,13.408,16.419889779
18.2755500727,0.163,0.225398450897,13.04,15.9791957997
18.3375500727,0.1585,0.226163117563,12.68,15.5477483307
18.3995500727,0.1552,0.22692778423,12.416,15.233535369
18.4615500727,0.1532,0.227692450897,12.256,15.0465986782
18.5235500727,0.1532,0.228457117563,12.256,15.0559704329
18.5855500727,0.1502,0.22922178423,12.016,14.7703289593
18.6475500727,0.1487,0.229986450897,11.896,14.6319188199
18.7095500727,0.1476,0.230751117563,11.808,14.5327091962
18.7715500727,0.1468,0.23151578423,11.744,14.46292137
18.8335500727,0.1458,0.232280450897,11.664,14.3733191793
18.8955500727,0.1446,0.233045117563,11.568,14.26386592
18.9575500727,0.1443,0.23380978423,11.544,14.2431001492
19.0195500727,0.1433,0.234574450897,11.464,14.1531615051
19.0815500727,0.1429,0.235339117563,11.432,14.122396792
19.1435500727,0.1429,0.23610378423,11.432,14.1311384613
19.2055500727,0.1419,0.236868450897,11.352,14.0409306546
19.2675500727,0.1412,0.237633117563,11.296,13.980303696
19.3295500727,0.1414,0.23839778423,11.312,14.0087557352
19.3915500727,0.1409,0.239162450897,11.272,13.9678391465
19.4535500727,0.1412,0.239927117563,11.296,14.00621672
19.5155500727,0.1403,0.24069178423,11.224,13.9255245862
19.5775500727,0.1404,0.241456450897,11.232,13.9440388565
19.6395500727,0.1407,0.242221117563,11.256,13.9824408993
19.7015500727,0.1402,0.24298578423,11.216,13.9413285559
19.7635500727,0.1401,0.243750450897,11.208,13.9399550537
19.8255500727,0.1404,0.244515117563,11.232,13.9783938005
19.8875500727,0.1404,0.24527978423,11.232,13.9869825365
19.9495500727,0.1402,0.246044450897,11.216,13.9756345613
20.0115500727,0.1398,0.246809117563,11.184,13.9443131708
20.0735500727,0.14,0.24757378423,11.2,13.9728263834
20.1355500727,0.14,0.248338450897,11.2,13.98139065
20.1975500727,0.1394,0.249103117563,11.152,13.9299979671
20.2595500727,0.1403,0.24986778423,11.224,14.0285160102
20.3215500727,0.1394,0.250632450897,11.152,13.9470530924
20.3835500727,0.1393,0.251397117563,11.144,13.9455694781
20.4455500727,0.1398,0.25216178423,11.184,14.0041773948
20.5075500727,0.1394,0.252926450897,11.152,13.9726357804
20.5695500727,0.1386,0.253691117563,11.088,13.9009271115
20.6315500727,0.1385,0.25445578423,11.08,13.8993700893
20.6935500727,0.1384,0.255220450897,11.072,13.8978008323
20.7555500727,0.138,0.255985117563,11.04,13.8660756979
20.8175500727,0.1376,0.25674978423,11.008,13.8343016248
20.8795500727,0.1368,0.257514450897,10.944,13.7622381506
20.9415500727,0.1355,0.258279117563,10.84,13.6397456344
21.0035500727,0.1342,0.25904378423,10.736,13.5170940675
21.0655500727,0.1337,0.259808450897,10.696,13.4749111908
21.1275500727,0.1303,0.260573117563,10.424,13.1402141775
21.1895500727,0.1291,0.26133778423,10.328,13.0270966355
21.2515500727,0.1274,0.262102450897,10.192,12.8633481795
21.3135500727,0.1259,0.262867117563,10.072,12.7195976081
21.3755500727,0.1251,0.26363178423,10.008,12.6464268966
21.4375500727,0.1243,0.264396450897,9.944,12.5731583077
21.4995500727,0.1232,0.265161117563,9.856,12.4694279747
21.5615500727,0.1211,0.26592578423,9.688,12.2642889976
21.6235500727,0.1195,0.266690450897,9.56,12.1095607106
21.6855500727,0.118,0.267455117563,9.44,11.9647763098
21.7475500727,0.1164,0.26821978423,9.312,11.8096626308
21.8095500727,0.1141,0.268984450897,9.128,11.5832900678
21.8715500727,0.111,0.269749117563,8.88,11.275372164
21.9335500727,0.1081,0.27051378423,8.648,10.987403206
21.9955500727,0.1047,0.271278450897,8.376,10.6482283047
22.0575500727,0.102,0.272043117563,8.16,10.3798718393
22.1195500727,0.09926,0.27280778423,7.9408,10.107112053
22.1815500727,0.09836,0.273572450897,7.8688,10.0214869016
22.2435500727,0.09803,0.274337117563,7.8424,9.99386141078
22.3055500727,0.09724,0.27510178423,7.7792,9.91927179988
22.3675500727,0.0969,0.275866450897,7.752,9.89051672735
22.4295500727,0.09623,0.276631117563,7.6984,9.82801699545
22.4915500727,0.09409,0.27739578423,7.5272,9.61521354706
22.5535500727,0.08004,0.278160450897,6.4032,8.18431699918
22.6155500727,0.07948,0.278925117563,6.3584,8.13191746752
22.6775500727,0.07948,0.27968978423,6.3584,8.13677952405
